Loan Type,Encoded Value
"Payday Loan, Not Specified, Not Specified, Not Specified, and Student Loan",346
"Auto Loan, Auto Loan, Debt Consolidation Loan, Home Equity Loan, Payday Loan, Credit-Builder Loan, and Credit-Builder Loan",436
"Mortgage Loan, Debt Consolidation Loan, Mortgage Loan, Mortgage Loan, Not Specified, and Mortgage Loan",616
"Mortgage Loan, Credit-Builder Loan, Not Specified, Student Loan, and Auto Loan",506
"Mortgage Loan, Student Loan, Payday Loan, Student Loan, and Debt Consolidation Loan",935
"Payday Loan, Student Loan, and Debt Consolidation Loan",233
"Home Equity Loan, and Payday Loan",326
"Home Equity Loan, Auto Loan, Debt Consolidation Loan, Personal Loan, Personal Loan, Auto Loan, Auto Loan, and Home Equity Loan",618
"Personal Loan, and Auto Loan",511
"Payday Loan, Payday Loan, Student Loan, Not Specified, Auto Loan, and Payday Loan",927
"Student Loan, Payday Loan, Student Loan, Mortgage Loan, and Mortgage Loan",647
"Home Equity Loan, Personal Loan, Student Loan, and Home Equity Loan",682
"Payday Loan, Mortgage Loan, Auto Loan, Home Equity Loan, Payday Loan, Credit-Builder Loan, Auto Loan, Credit-Builder Loan, and Mortgage Loan",322
"Payday Loan, and Personal Loan",687
"Home Equity Loan, Debt Consolidation Loan, Credit-Builder Loan, and Auto Loan",757
"Student Loan, and Debt Consolidation Loan",846
"Home Equity Loan, Payday Loan, Home Equity Loan, Mortgage Loan, and Auto Loan",854
"Auto Loan, Debt Consolidation Loan, Auto Loan, Personal Loan, Credit-Builder Loan, and Home Equity Loan",858
"Home Equity Loan, Not Specified, Personal Loan, and Payday Loan",580
"Credit-Builder Loan, Auto Loan, Home Equity Loan, and Debt Consolidation Loan",162
"Student Loan, Auto Loan, Payday Loan, and Student Loan",573
"Debt Consolidation Loan, Student Loan, and Mortgage Loan",703
"Debt Consolidation Loan, Auto Loan, Credit-Builder Loan, Personal Loan, Auto Loan, and Debt Consolidation Loan",900
"Debt Consolidation Loan, Home Equity Loan, Credit-Builder Loan, and Personal Loan",163
"Credit-Builder Loan, Home Equity Loan, and Auto Loan",651
"Personal Loan, Mortgage Loan, and Home Equity Loan",148
"Auto Loan, Credit-Builder Loan, and Auto Loan",340
"Home Equity Loan, Credit-Builder Loan, Payday Loan, Student Loan, Personal Loan, Credit-Builder Loan, and Auto Loan",783
"Payday Loan, Student Loan, and Payday Loan",265
"Home Equity Loan, Payday Loan, and Personal Loan",234
"Auto Loan, Auto Loan, Payday Loan, Student Loan, Payday Loan, and Not Specified",716
"Personal Loan, and Debt Consolidation Loan",252
"Payday Loan, Personal Loan, Personal Loan, Student Loan, Not Specified, and Student Loan",420
"Auto Loan, Payday Loan, Personal Loan, Credit-Builder Loan, Student Loan, Payday Loan, Credit-Builder Loan, Not Specified, and Personal Loan",238
"Student Loan, and Personal Loan",656
"Personal Loan, Debt Consolidation Loan, Home Equity Loan, Personal Loan, Mortgage Loan, and Debt Consolidation Loan",664
"Auto Loan, Payday Loan, Student Loan, Debt Consolidation Loan, Personal Loan, and Student Loan",687
"Credit-Builder Loan, Student Loan, and Auto Loan",752
"Personal Loan, Student Loan, and Not Specified",234
"Payday Loan, Credit-Builder Loan, Not Specified, and Student Loan",627
"Credit-Builder Loan, Payday Loan, Payday Loan, Credit-Builder Loan, Student Loan, and Payday Loan",995
"Credit-Builder Loan, Student Loan, Auto Loan, and Home Equity Loan",233
"Payday Loan, Credit-Builder Loan, Payday Loan, Auto Loan, Student Loan, and Home Equity Loan",423
"Payday Loan, Debt Consolidation Loan, Personal Loan, Payday Loan, Auto Loan, and Debt Consolidation Loan",686
"Student Loan, Home Equity Loan, Personal Loan, and Credit-Builder Loan",311
"Personal Loan, Mortgage Loan, Mortgage Loan, and Auto Loan",323
"Not Specified, Personal Loan, Credit-Builder Loan, Payday Loan, Credit-Builder Loan, and Mortgage Loan",508
"Not Specified, Personal Loan, Auto Loan, Not Specified, and Debt Consolidation Loan",939
"Personal Loan, Debt Consolidation Loan, and Mortgage Loan",456
"Auto Loan, Mortgage Loan, Personal Loan, and Student Loan",211
"Personal Loan, Not Specified, Credit-Builder Loan, Auto Loan, and Not Specified",892
"Credit-Builder Loan, Personal Loan, Not Specified, Not Specified, Personal Loan, Credit-Builder Loan, and Mortgage Loan",220
"Payday Loan, Mortgage Loan, Not Specified, Personal Loan, Not Specified, and Home Equity Loan",598
"Payday Loan, Home Equity Loan, Payday Loan, Payday Loan, Payday Loan, Mortgage Loan, and Payday Loan",710
"Mortgage Loan, Student Loan, Payday Loan, and Student Loan",981
"Auto Loan, Credit-Builder Loan, Student Loan, Auto Loan, Not Specified, Home Equity Loan, Debt Consolidation Loan, and Debt Consolidation Loan",853
"Debt Consolidation Loan, and Credit-Builder Loan",416
"Auto Loan, Student Loan, and Payday Loan",659
"Mortgage Loan, Not Specified, Student Loan, and Not Specified",829
"Personal Loan, Debt Consolidation Loan, Home Equity Loan, Credit-Builder Loan, Auto Loan, and Payday Loan",381
"Payday Loan, Mortgage Loan, and Student Loan",303
"Mortgage Loan, Mortgage Loan, Mortgage Loan, and Payday Loan",698
"Credit-Builder Loan, Debt Consolidation Loan, and Payday Loan",444
"Not Specified, Personal Loan, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, and Credit-Builder Loan",597
"Debt Consolidation Loan, and Payday Loan",340
"Home Equity Loan, Home Equity Loan, and Home Equity Loan",914
"Auto Loan, Auto Loan, Home Equity Loan, Home Equity Loan, Personal Loan, Payday Loan, and Personal Loan",264
"Credit-Builder Loan, Mortgage Loan, and Credit-Builder Loan",632
"Credit-Builder Loan, Credit-Builder Loan, Auto Loan, and Auto Loan",375
"Auto Loan, Payday Loan, Not Specified, Auto Loan, Home Equity Loan, and Payday Loan",960
"Student Loan, Personal Loan, Auto Loan, and Auto Loan",575
"Debt Consolidation Loan, Debt Consolidation Loan, and Payday Loan",808
"Mortgage Loan, Mortgage Loan, Credit-Builder Loan, Debt Consolidation Loan, Auto Loan, Student Loan, Payday Loan, Mortgage Loan, and Home Equity Loan",562
"Student Loan, Credit-Builder Loan, Mortgage Loan, and Student Loan",214
"Student Loan, Auto Loan, Credit-Builder Loan, Credit-Builder Loan, Personal Loan, Payday Loan, and Payday Loan",444
"Auto Loan, and Not Specified",324
"Not Specified, Personal Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Mortgage Loan, and Mortgage Loan",884
"Home Equity Loan, Not Specified, Credit-Builder Loan, Auto Loan, Payday Loan, and Mortgage Loan",649
"Personal Loan, and Not Specified",559
"Student Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Student Loan",293
"Auto Loan, Personal Loan, Personal Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, and Auto Loan",278
"Credit-Builder Loan, Credit-Builder Loan, and Personal Loan",917
"Mortgage Loan, Personal Loan, and Mortgage Loan",489
"Student Loan, Mortgage Loan, Mortgage Loan, Payday Loan, Home Equity Loan, Not Specified, and Debt Consolidation Loan",372
"Credit-Builder Loan, Debt Consolidation Loan, and Credit-Builder Loan",141
"Personal Loan, Home Equity Loan, Mortgage Loan, and Personal Loan",641
"Auto Loan, Auto Loan, Auto Loan, and Not Specified",718
"Mortgage Loan, Student Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Personal Loan, Student Loan, and Personal Loan",653
"Credit-Builder Loan, Personal Loan, Credit-Builder Loan, Not Specified, Auto Loan, and Student Loan",578
"Auto Loan, Credit-Builder Loan, Auto Loan, and Not Specified",739
"Credit-Builder Loan, Mortgage Loan, Payday Loan, and Payday Loan",687
"Auto Loan, Student Loan, and Home Equity Loan",570
"Credit-Builder Loan, Home Equity Loan, Auto Loan, Debt Consolidation Loan, Student Loan, and Student Loan",108
"Mortgage Loan, Auto Loan, Debt Consolidation Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",204
"Payday Loan, Mortgage Loan, and Auto Loan",652
"Student Loan, Payday Loan, Not Specified, Mortgage Loan, Home Equity Loan, Payday Loan, Payday Loan, Not Specified, and Credit-Builder Loan",701
"Mortgage Loan, Home Equity Loan, and Payday Loan",917
"Payday Loan, Auto Loan, Credit-Builder Loan, Home Equity Loan, and Home Equity Loan",739
"Student Loan, Student Loan, Home Equity Loan, Student Loan, and Payday Loan",291
"Home Equity Loan, Debt Consolidation Loan, Debt Consolidation Loan, Payday Loan, Payday Loan, and Home Equity Loan",759
"Mortgage Loan, Credit-Builder Loan, and Debt Consolidation Loan",833
"Personal Loan, Student Loan, Debt Consolidation Loan, Credit-Builder Loan, Mortgage Loan, Not Specified, and Debt Consolidation Loan",425
"Debt Consolidation Loan, Debt Consolidation Loan, Debt Consolidation Loan, Auto Loan, Credit-Builder Loan, Mortgage Loan, Student Loan, and Not Specified",640
"Debt Consolidation Loan, Debt Consolidation Loan, Personal Loan, and Credit-Builder Loan",705
"Auto Loan, Payday Loan, and Personal Loan",147
"Not Specified, Payday Loan, Personal Loan, and Student Loan",674
"Payday Loan, Student Loan, Home Equity Loan, and Mortgage Loan",952
"Payday Loan, Payday Loan, and Debt Consolidation Loan",450
"Not Specified, Mortgage Loan, Credit-Builder Loan, and Student Loan",870
"Student Loan, Debt Consolidation Loan, Payday Loan, and Auto Loan",279
"Mortgage Loan, Personal Loan, Payday Loan, Not Specified, Student Loan, and Payday Loan",552
"Student Loan, Debt Consolidation Loan, Not Specified, Debt Consolidation Loan, Home Equity Loan, and Home Equity Loan",227
"Payday Loan, Payday Loan, Payday Loan, Student Loan, and Personal Loan",781
"Debt Consolidation Loan, Personal Loan, Not Specified, and Debt Consolidation Loan",928
"Auto Loan, Personal Loan, Personal Loan, Credit-Builder Loan, Mortgage Loan, Payday Loan, and Personal Loan",217
"Personal Loan, Mortgage Loan, and Auto Loan",829
"Payday Loan, Home Equity Loan, and Credit-Builder Loan",800
"Debt Consolidation Loan, Credit-Builder Loan, Auto Loan, Credit-Builder Loan, Not Specified, and Mortgage Loan",308
"Mortgage Loan, Student Loan, Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, and Credit-Builder Loan",624
"Personal Loan, Auto Loan, and Not Specified",466
"Mortgage Loan, Student Loan, Auto Loan, Debt Consolidation Loan, and Debt Consolidation Loan",175
"Auto Loan, Not Specified, Home Equity Loan, Personal Loan, Student Loan, Auto Loan, Credit-Builder Loan, and Not Specified",646
"Not Specified, Payday Loan, and Auto Loan",310
"Auto Loan, Not Specified, Credit-Builder Loan, and Mortgage Loan",281
"Home Equity Loan, Home Equity Loan, Student Loan, Not Specified, Home Equity Loan, Credit-Builder Loan, and Debt Consolidation Loan",607
"Personal Loan, Payday Loan, Not Specified, and Payday Loan",594
"Personal Loan, Personal Loan, and Mortgage Loan",591
"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Payday Loan, and Debt Consolidation Loan",781
"Mortgage Loan, Debt Consolidation Loan, Student Loan, Home Equity Loan, and Home Equity Loan",914
"Not Specified, Debt Consolidation Loan, Not Specified, and Payday Loan",358
"Payday Loan, Payday Loan, Home Equity Loan, Home Equity Loan, Home Equity Loan, and Credit-Builder Loan",386
"Debt Consolidation Loan, Payday Loan, and Mortgage Loan",183
"Home Equity Loan, and Home Equity Loan",299
"Debt Consolidation Loan, Debt Consolidation Loan, Credit-Builder Loan, Mortgage Loan, and Auto Loan",889
"Auto Loan, Not Specified, Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Personal Loan",249
"Auto Loan, Not Specified, Not Specified, Credit-Builder Loan, Student Loan, and Not Specified",370
"Debt Consolidation Loan, Auto Loan, Debt Consolidation Loan, Payday Loan, Home Equity Loan, Not Specified, Mortgage Loan, Payday Loan, and Credit-Builder Loan",469
"Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Personal Loan",753
"Student Loan, Student Loan, and Home Equity Loan",530
"Personal Loan, and Credit-Builder Loan",309
"Auto Loan, Home Equity Loan, Student Loan, Student Loan, Personal Loan, and Student Loan",875
"Auto Loan, Debt Consolidation Loan, Mortgage Loan, and Payday Loan",185
"Debt Consolidation Loan, Credit-Builder Loan, and Personal Loan",751
"Home Equity Loan, Not Specified, Mortgage Loan, Personal Loan, Auto Loan, Not Specified, and Student Loan",994
"Student Loan, Mortgage Loan, Auto Loan, Auto Loan, Auto Loan, Personal Loan, and Payday Loan",627
"Home Equity Loan, Mortgage Loan, Auto Loan, Payday Loan, Debt Consolidation Loan, and Credit-Builder Loan",874
"Personal Loan, Student Loan, Mortgage Loan, and Home Equity Loan",855
"Auto Loan, Mortgage Loan, Debt Consolidation Loan, and Student Loan",284
"Mortgage Loan, Payday Loan, and Credit-Builder Loan",324
"Not Specified, Not Specified, Not Specified, Payday Loan, Auto Loan, Payday Loan, and Student Loan",480
"Debt Consolidation Loan, Debt Consolidation Loan, and Auto Loan",983
"Not Specified, Not Specified, Mortgage Loan, and Mortgage Loan",131
"Payday Loan, Credit-Builder Loan, Personal Loan, Auto Loan, Personal Loan, and Debt Consolidation Loan",657
"Personal Loan, Mortgage Loan, Student Loan, Debt Consolidation Loan, Mortgage Loan, Home Equity Loan, and Not Specified",227
"Student Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, Auto Loan, and Credit-Builder Loan",421
"Personal Loan, Not Specified, Not Specified, Personal Loan, Credit-Builder Loan, Personal Loan, and Mortgage Loan",696
"Debt Consolidation Loan, Home Equity Loan, Home Equity Loan, and Debt Consolidation Loan",238
"Mortgage Loan, Not Specified, Mortgage Loan, and Payday Loan",682
"Debt Consolidation Loan, Not Specified, Auto Loan, and Payday Loan",780
"Home Equity Loan, Debt Consolidation Loan, Not Specified, and Home Equity Loan",586
"Debt Consolidation Loan, Mortgage Loan, Credit-Builder Loan, and Personal Loan",246
"Student Loan, Personal Loan, Not Specified, and Auto Loan",637
"Home Equity Loan, Credit-Builder Loan, and Debt Consolidation Loan",170
"Personal Loan, Not Specified, Personal Loan, Mortgage Loan, Credit-Builder Loan, and Debt Consolidation Loan",672
"Auto Loan, Auto Loan, Payday Loan, Not Specified, Auto Loan, and Debt Consolidation Loan",171
"Home Equity Loan, Debt Consolidation Loan, Home Equity Loan, Credit-Builder Loan, Student Loan, and Credit-Builder Loan",222
"Personal Loan, Personal Loan, Home Equity Loan, Not Specified, Personal Loan, and Not Specified",697
"Credit-Builder Loan, Home Equity Loan, Student Loan, Payday Loan, Credit-Builder Loan, Home Equity Loan, Credit-Builder Loan, Payday Loan, and Student Loan",940
"Home Equity Loan, Not Specified, Not Specified, Payday Loan, and Credit-Builder Loan",384
"Home Equity Loan, Student Loan, Personal Loan, and Student Loan",852
"Auto Loan, Personal Loan, Auto Loan, and Auto Loan",333
"Not Specified, Home Equity Loan, Student Loan, Payday Loan, Debt Consolidation Loan, Credit-Builder Loan, Auto Loan, Credit-Builder Loan, and Personal Loan",918
"Credit-Builder Loan, Payday Loan, Student Loan, Debt Consolidation Loan, and Auto Loan",392
"Student Loan, Student Loan, Credit-Builder Loan, Student Loan, Not Specified, Payday Loan, Home Equity Loan, and Student Loan",656
"Credit-Builder Loan, Mortgage Loan, Not Specified, Debt Consolidation Loan, Auto Loan, and Mortgage Loan",677
"Personal Loan, Credit-Builder Loan, Not Specified, Mortgage Loan, and Debt Consolidation Loan",718
"Debt Consolidation Loan, and Mortgage Loan",801
"Debt Consolidation Loan, Credit-Builder Loan, Personal Loan, Auto Loan, Payday Loan, Personal Loan, Auto Loan, and Not Specified",149
"Personal Loan, Personal Loan, Student Loan, Debt Consolidation Loan, Not Specified, and Home Equity Loan",965
"Auto Loan, Credit-Builder Loan, Student Loan, Personal Loan, Mortgage Loan, Mortgage Loan, and Debt Consolidation Loan",656
"Auto Loan, Not Specified, and Debt Consolidation Loan",930
"Student Loan, and Payday Loan",377
"Auto Loan, Home Equity Loan, Student Loan, Credit-Builder Loan, Personal Loan, and Debt Consolidation Loan",272
"Credit-Builder Loan, Student Loan, Home Equity Loan, and Payday Loan",835
"Debt Consolidation Loan, Auto Loan, Mortgage Loan, and Mortgage Loan",928
"Mortgage Loan, Payday Loan, and Debt Consolidation Loan",767
"Payday Loan, Auto Loan, Debt Consolidation Loan, and Mortgage Loan",908
"Debt Consolidation Loan, Personal Loan, Credit-Builder Loan, Payday Loan, and Home Equity Loan",419
"Payday Loan, Payday Loan, Auto Loan, Not Specified, Personal Loan, Not Specified, and Personal Loan",892
"Credit-Builder Loan, Debt Consolidation Loan, Debt Consolidation Loan, Debt Consolidation Loan, Debt Consolidation Loan, Credit-Builder Loan, and Home Equity Loan",656
"Personal Loan, Payday Loan, Debt Consolidation Loan, and Mortgage Loan",742
"Payday Loan, Payday Loan, and Not Specified",978
"Home Equity Loan, Mortgage Loan, Personal Loan, Student Loan, Mortgage Loan, Debt Consolidation Loan, Debt Consolidation Loan, Student Loan, and Not Specified",882
